"id","firm_name","pharmacist","address","state","city","taluka","geocode","time_stamp"
11,TAAL COMMUNITY MEDICAL CENTER - 9881379168,"archana dashrath ugale, DPH, [64734-27/10/2009]","AHMEDNAGAR-H.NO. 4996, MALIWADA,,BARATOTI KARANJA, NEAR DATTA LODGE",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,907.661263"
12,ABHAY MEDICAL & GENERAL STORES - 9270181722,"roopali manohar desai, DPH, [38619-01/01/2003]","Dist Ahmednagar-S. No. 213/681, Shop No. 6 A- 7 A Shukrawar Bajar,Bhingar Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,908.327059"
13,ABHINAV PHARMA - 9822415633,"kishor bhanudas kasar, b. c.s (comp. sci), OTH, [C-P-06/09/2014]","AHMEDNAGAR-S.NO.52/1, PLOT NO.23, GROUND FLOOR , GALA NO 1 TOWARDS WEST,LINK ROAD, BHUSHAN NAGAR, KEDGAON",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,908.689302"
14,ABHISHEK MEDICAL & GENRAL STORES - 9403619978,"sunanda purushottam chitkul, DPH, [41601-11/12/1995]","Dist Ahmednagar-Ward no. 141(A),S.no. 158 Near Dr. Satakar Hospital Satbhai Mala",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,909.095457"
15,Deepak Hospitals Prabhakar Medicals - 9822146340,"yogesh vishnu dethe, DPH, [195516-24/10/2016]","Ahmednagar.-Plot No. 46/11, T.P. Scheme No. 4, Gala No.1,,Deepak Hospital Compound, Savedi Road,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,909.395696"
16,DEEPAK HOSPITALS PRABHAKAR MEDICALS - 9822146340,"smt. anita b. prabhakar, MA, [C-P-22/08/2011]","MANMAD ROAD , AHMEDNAGAR-TPS No. 4, F. P. No.46/11,M No. 176B, GROUND FLOOR ,,REAR SIDE STORE ROOM OF DEEPAK HOSPITALl BUILDING",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,909.755096"
17,Glebit Laboratores. - 9422239548,"shailesh chimanlal gadia, DPH, [29817-23/01/2012]","Ahmednagar-C.S.No. 2085/1, 1938-39,,Devars Lane,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,910.041111"
18,GLEBIT LABORATORIES - 9422239548,"prashant popatlal gadia, BPH, [C-P-26/06/1992]","AHMEDNAGAR-SHOP NO 93 AND AREA BEHIND SHOP NO. 90,91,92,M.R.TRADE CENTRE SECTOR 5, WADIA PARK MALIWADA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,910.422478"
19,Nabi Medical And General Stores - 9270967647,"wasim anwar pathan, DPH, [81448-18/07/2006]","Ahmednagar-H.No. 5709, Gala No,5,Satranji Masjid Road,Parshaa Khunt",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,910.712826"
20,NEW SAURABH MEDICAL AND GENERAL STORES - 9420530998,"sandip shridhar shinde, DPH, [63884-04/09/2014]","TAL, AHMEDNAGAR-MILKAT NO.58. GROUND FLOOR,KAUDGAON",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,911.011344"
21,NEW SOURABH AGENCIES - 7588029649,"sadhana avinash salunke, BA, [C-P-09/10/2006]","AHMEDNAGAR-SHOP NO. 01, GROUND FLOOR, PROPERTY NO. 3876,,KAKADE SADAN, NANGARE LANE,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,911.309826"
22,PRABHAT MEDICAL & GENERAL STORES - 9822991501,"amol ratilal firodia, DPH, [60910-21/05/2007]","AHMEDNAGAR-PLOT NO. 127, NAGARRACHANA NO. 3,SUKKAR CHOWK,,STATION RD. AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,911.778921"
23,RAMPRABHA MEDICAL AND GENERAL STORES - 9890442005,"sagar ramhari kulat, BPH, [75873-18/12/2012]","AHMEDNAGAR-PLOT NO. 16, S.NO. 82/1+83/1A,,KAPILESHWAR NAGAR, BEHIND MARKET YARD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,912.109875"
24,SAIPRABHA MEDICAL AND GENERAL STORES - 9371842719,"kamal ramdas kokate, [78051-15/09/2006]","AHMEDNAGAR-HOUSE NO. 4657, C. S. NO. 4664, D/1,,MAHATMA PHULE ROAD, MALIWADA, AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,912.47397"
25,Saurabh Optical And Medical - 9822871221,"jyoti bhausaheb barde, DPH, [72193-01/11/2011]","Ahmednagar-C.S.No.5893, H.NO. 4444,4445,4446 Gala No. 4,,Anand Chambers, Court Lane Ahmednagar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,912.76283"
26,Saurabh Surgicals,"shri saurabh baburao nadgauda, OTH, [C-P-24/08/1992]","Ahmednagar-H.No. 1061/6, Room NO. 11, Ground Floor,,TeliKhunt",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,913.059364"
27,SURABHI ENTERPRISES - 9028136030,"sayyed irfan ahmed gulam dastgir (ssc+iti), SSC, [C-P-04/10/2014]","AHMEDNAGAR-CTS. NO. 3795 A, GROUND FLOOR ,,NEAR CHAND SULTANA SCHOOL ROAD, MANIK CHOWK",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,913.447092"
28,ACME VET PHARMACUITICAL - 8856966236,"amol subhash gawade, BPH, [C-P-10/03/2015]","AHMEDNAGAR-SURVEY NO. 27,PLOT NO. 31, GROUND FLOOR , SHOP NO. 3 &4,EKNATH NAGAR, KEDGAON,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,914.146157"
29,Alaiance Pharmaceuticals Agencies - 9226751066,"adhinath raghuji gawali, BSC, [C-P-06/01/2007]","Dist.Ahmednagar-S.NO. 23/2A+23/4, FIRST FLOOR, SANGEET COLONY,,WANI NAGAR, Pipeline Road.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,914.504773"
30,CHAMUNDA PHARMACEUTICALS - 9923470587,"jayshri rajesh badgujar, DPH, [C-P-20/06/2014]","AHMEDNAGAR-SURVEY NO.385/5, PLOT NO.9, GROUND FLOOR,CHAMUNDA NIWAS,SHANTI NAGAR,VINAYAK NAGAR, NAGAR PUNE ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,914.871997"
31,DHARMACHAKRA MEDICAL & GENRAL STORES - 9860413148,"kaveri arjun bhand, DPH, [128511-26/11/2013]","Dist. Ahmednagar-396, M.G. Rd.,Bhingar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,915.232336"
32,DRMEDICUS PHARMACEUTICALS PVT. LTD. - 9260781280,"devendra nandkishor deshmukh, DPH, [80642-24/11/2014]","AHMEDNAGAR-M. NO. Z429111425 (OLD 29/805) GROUND +FIRST FLOOR,VRUNDAWAN SOCIETY COLONY , SARASNAGAR, BURUDGAON ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,915.58024"
33,DRUGIN PHARMACEUTICALS - 8007230253,"shaikh irfan shahabuddin, DPH, [85284-04/09/2015]","Ahmednagar-PLOT NO.3, FIRST FLOOR, Prop. No. Z-387099325, Gala No.1,,C.I.V Soc., Darga Daira Road, Mukundnagar,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,915.924571"
34,Euthenics Pharmaceuticals - 9326134869,"sunil sudhakar akolkar, DPH, [71625-06/12/2010]","Ahmednagar-Gut No. 119/11, Plot No.19, Gala No.5,,Bhagyoday Residency, Borude Mala, Balikashram Road,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,916.298497"
35,EVANGELINE BOOTH HOSPITAL MEDICAL STORES (PHARMACY) - 9860546177,"prabhatkumar david chandekar, DPH, [50219-05/09/2012]","AHMEDNAGAR-D.L.R. S.NO. 112, BANGALOW NO. 8,OPP. GENERAL POST OFFICE,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,916.591613"
36,GALAXY PHARMACEUTICALS DISTRIBUTORS - 9423177733,"shri vinay narayan garud, OTH, [C-P-05/11/2012]","AHMEDNAGR-S.NO. 5479. B.K. COMPLEX, SHOP NO. 302,,DHANGAR LANE, LAXMI KARANJA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,916.887724"
37,GLOBAL PHARMACY - 9145260181,"sameer baburao autade, DPH, [44153-26/10/2016]","Dist. Ahmednagar-C.S.no. 7375, 5+6/2 Sr.NO.1, Basement Ameya Classic,,Deshmukh Wadi Sarjepura",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,917.186975"
38,GLOBAL PHARMACY MEDICAL AND GENERAL STORES - 9272711227,"mahesh ramkisan hinge, DPH, [119445-22/05/2014]","AHMEDNAGAR-SHOP NO. 2, HOUSE NO. 2/7, PLOT NO. 197/14,,CIVIL HADCO, SAVEDI,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,917.51151"
39,INSTACURE PHARMACEUTICALS - 9873180144,"jyostna champalal bhandari, HSC, [C-P-27/04/2016]","AHMEDNAGAR-SHOP NO. 04, (NORTH SIDE),1ST FL, PR NO. Z34092603,,CS. NO. 1341, DALMANDAI, NEAR MERCHANT BANK,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,917.808914"
40,ISHWARI PHARMACY - 9145260181,"kiran bhaskarrao shinde, DPH, [39337-29/01/2013]","AHMEDNAGAR-C.S.NO. 7375/4/2 BENDRE HOSPITAL,DESHMUKHWADI, SARJEPURA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,918.11839"
41,IVY PHARMACEUTICALS - 9890910010,"abhijeet vijay ranga, BPH, [63708-30/03/2010]","Dist. Ahmednagar-Ghar no. 859 C.s.no. 1672,Bagadpatti",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,918.471113"
42,Jaimangal Pharmaceuticals - 9890910010,"mrs. vandana prakash kyaddar,, SSC, [C-P-25/08/2011]","Ahmednagar-Sr..No.3824, Varad Heights, H. NO.3508,,Shop No.2 & 4, Ground Floor, Pardeshi Lane,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,918.841141"
43,MAULI PHARMACEUTICALS - 9423052319,"navnath uttam dare, DPH, [C-P-31/08/2012]","AHMEDNAGAR-MILKAT NO. 5/34, C.S.NO. 4150,BARATOTI KARANJA, MALIWADA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,919.216428"
44,MAULI PHARMACEUTICALS - 9623686829,"yuvraj ganpat khedkar, DPH, [C-P-22/05/2013]","AHMEDNAGAR-MALMATTA NO. 17/322 (Z217087903), GROUND FLOOR ,JAPE WADA,KHANDOPANT HAVELI, MALIWADA",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,919.591409"
45,NEEL HOMEO PHARMACY - 9028477007,"harshita deepak daswani, BCO, [C-P-16/06/2011]","AHMEDNAGAR-G-S 6, ANANT KESHAV HEIGHTS / SHOP NO.G9&G10, DURVESH CHAMBE,DELHI GATE, AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,920.226541"
46,NUCLEAR PHARMACEUTICALS - 9999999999,"sau anuradha yogesh belhekar, BSC, [C-P-26/12/2007]","AHMEDNAGAR-C. S. NO. 4819/1,,1ST FLOOR,PANSARE BUILDING ,ZAREKAR GALLI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,920.538163"
47,OCTONARTIST PHARMACEUTICALS - 9999999999,"nitin bhagwan dalvi , DPH, [C-P-24/06/2008]","AHMEDNAGAR-C. S. NO. 32 A/38, PLOT NO. 11,YASHODANAGAR, PIPELINE ROAD",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,920.840268"
48,ORACLE MOLECULES INDIA PVT. LTD. - 9823502537,"satish hothchand navlani, DPH, [63836-07/09/2012]","AHMEDNAGAR-C.S.NO. 3/1A, SHOP NO. 07, ASHIRWAD APPARTMENT,,BEHIND ICICI BANK SAVEDI AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,921.138521"
49,ORANGE PHARMACEUTICALS - 9923516888,"ujwalkumar annasaheb najan, [165305-06/05/2016]","AHMEDNAGAR-SHOP NO. 05, (EAST SIDE), C. S. NO. 49/1B/1C/1/1C/2, PLOT NO,GAJANAN COLONY, NAV NAGAPUR, AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,921.540293"
50,PALSAN PARMACEUTICALS - 9999999999,"navnath laxman palve, SSC, [C-P-04/09/1995]","AHMEDNAGAR-F-24, M. I. D. C.,M.I.D.C.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,921.850893"
51,R & G PHARMACEUTICALS - 9822269206,"pradip ramdas borade, DPH, [136980-04/12/2015]","AHMEDNAGAR-SHOP NO. 02, (SOUTH SIDE), S. NO. 145/1 A/1/1 A,,MILKAT NO. 581, A/P - DAREWADI, TAL & DIST - AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,922.157585"
52,RACHCHA MEDICAL AND GENERAL STORES - 9421964247,"shital bhagwatrao kandekar, DPH, [132922-01/08/2014]","AHMEDNAGAR-CTS No. 7591, PL. No. 19 & 20, GROUND FLOOR , WEST SIDE SHOP,MOHANBAGH (RACHCHA HOSPITAL),DELHI GATE",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,922.462643"
53,RCA PHARMACEUTICALS - 8275268747,"ambadas sahebrao bade, DPH, [128039-27/02/2015]","AHMEDNAGAR-S.NO.70/2A+2B, PLOT NO.18,ZONE 4, M.NO 28/677 (Z428110080),GROUND FLOOR,SHOP NO.2, VAISHNAVICHARAN APPT.SARASNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,922.7928"
54,ROYAL PHARMACY - 7588056747,"jyoti pandurang bhalerao, [178105-20/09/2016]","AHMEDNAGAR-SHOP NO. 1, FR.WEST GR FL, PR NO. Z148049335,,ATHARE PATIL HOSPITAL, SAVEDI ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,923.176668"
55,SACHIN MEDICAL AND GENERAL STORES - 9270263007,"sachin shamuvel shelar, DPH, [101103-15/05/2009]","AHMEDNAGAR-S. NO. 25/2, PLO NO. 3, SHOP NO. 6,SANTKRUPA APT., PIPELINE ROAD, SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,923.490685"
56,SACHIN MEDICALS - 9271008731,"piyush uttamchand mandlecha, DPH, [77528-10/01/2012]","Ahmednagar-T.P.S. No.4, Plot No. 123/125,Gala NO.6, Shankuntala Apart.,,Professor Colony Chowk,Savedi",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,923.795867"
57,SAI BALAJI PHARMACEUTICALS AGENCY - 9028490800,"shri vardhaman suresh bafana, BSC, [C-P-05/11/2012]","AHMEDNAGAR-C.S.NO. 3988, KHANDOPANTH HAVELI ROAD,,JUNA BAZAR, OPP ASTHA HOSPITAL,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,924.168196"
58,Sanskuti Pharmaceuticals - 9960066529,"shri surendra ramchandra borade, BSC, [C-P-14/02/2011]","NALEGAON, AHMEDNAGAR-C.S.NO.14/2/2B AND 24/2 PAIKI PLOT NO.1+2+3, MALMATTA NO.Z22,FROM SOUTH SIDE GALA NO.7, ANUSUYA HIGHTS, SHINDE MALA, KALY",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,924.472345"
59,Shiv Pharmacy - 9326146327,"shrikant ravsaheb borude, DPH, [158394-05/09/2014]","Ahmendagar-Shop No. 9A, City S.No. 200+206 A/1, Parag Plaza,,Patrakar Chowk, c/o Lokmat Bhavan,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,924.832478"
60,Shree Bramhachaitanya Medical And General Stores. - 9970072733,"deepak sheshrao chape, DPH, [84437-30/12/2006]","Ahmednagr-C.S.NO. 322/1B/2A+B+C+D, Plot No. 6, Gala No.3,,Bhistabag Naka, Pipeline Road, Savedi",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,925.209765"
61,SPEACIALITY MEDICAL STORES 1 - 9822059019,"sandip ankush anarse, BPH, [131544-30/07/2012]","AHMEDNAGAR-T. P. SCHEME NO. 4, S. NO. 167/1, PLOT NO. 109,,OPP. NOBEL HOSPITAL, NEAR T. V. CENTRE,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,925.799061"
62,SUN PHARMACEUTICAL INDUSTRIES LTD. - 7588604550,"r.n.zaware, BSC,MBA, [C-P-07/07/2008]","Ahmednagar-A-7/A-8,,M.I.D.C. Industrial Area.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,926.170827"
63,SUN PHARMACEUTICALS INDUSTRIES LTD - 9822439084,"sahaji manaji jadhav, HSC, [C-P-01/05/2002]","dist.ahmednagar.-A-7/A-8,m.i.d.c.,industrial area,,ahmednagar,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,926.56141"
64,The Asiatic Oxygen & Acetylene Company Ltd.,"shri shalindra pandey, OTH, [C-P-10/10/2002]","Dist. Ahmednagar-Plot no. 47, Dena Bank Colony,Savedi Rd.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,926.859028"
65,Vaccicare Life Sciences - 9730008005,"sarika shantaram rode, DPH, [74518-19/01/2012]","Ahmedangar-C.S.NO. 2661/3, Pardeshi Lane, Charch Road,,Near Chandsultana Highschool",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,927.241091"
66,VARDHAMAN AGENCIES PHARMACEUTICAL DISTRIBUTORS - 9860799847,"parag arvind shah, DPH, [36920-02/03/2009]","AHMEDNAGAR-SHOP NO. 14, 3886 A/2, NISAL CHAMBERS,,NAGARE GALLI,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,927.552335"
67,"VISIONNET PHARMACEUTICALS PVT., LTD. - 9850954398","satish shashikant bhopale, DPH, [110164-03/02/2016]","AHMEDNAGAR.-M. NO. Z155058017(OLD 55/391) ,GROUND FLOOR FLAT NO.4,SANMAN APPT,BILVADAL HSG., SOCIATY, SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,927.852229"
68,VYANKATESH PHARMACY - 9028027655,"rupali ravindra khude, DPH, [50086-]","AHMEDNAGAR-BASEMENT SHOP NO. 2, C. S. NO. 3839/1,,CHURCH ROAD, JUNA BAZAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,928.231629"
69,Z.M. Pharmaceuticals - 9860462434,"sayed muzzammit mateen., BSC, [C-P-05/07/2011]","Ahmednagar.-1ST AND 2ND FLOOR, CS.NO 2470, BURUD GALLI,,DHARTI CHOWK,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,928.63318"
70,ADESH MEDICAL & COSMETICS - 9422221943,"adesh arun patel, DPH, [34724-17/03/1999]","Ahmednagar-C.s.no. 176/1, Plot no. 37, 38,39 Gala no. 10 & 11,Dwarka Compex Savedi",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,929.644167"
71,ADESHWAR MEDICAL AND GENERAL STORES - 9960417767,"shilpa shantilal kolan, DPH, [48940-07/07/2016]","A/P AHMEDNAGAR-SHOP NO.2, FROM EAST, GROUND FLOOR, PROP.NO. 7652,,C.S.NO. 7612/1, NEAR SHANI TEMPLE, DELHI GATE,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,930.03412"
72,ADITI PHARMA - 9975592180,"sau archana raju deshmukh, HSC, [C-P-11/07/2012]","SAVEDI AHMEDNAGAR-124/8 AKSHAR BHAGYODAYA COLONY,,BEHIND RAOSAHEB PATWARDHAN STATUE",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,930.414012"
73,ADITYA MEDICAL AND GENERAL STORE - 9665281427,"pradeep ravsaheb dhoble, DPH, [169969-20/07/2016]","AHMEDNAGAR-SHOP NO.6, FROM NORTH, GR. FL, PR. Z158000014,,Z.M.TOWARS, AURANGABAD ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,930.788028"
74,ADVAIT MEDICAL AND GENERAL STORES - 9823461541,"neelam babulal mourya, DPH, [178404-09/11/2015]","AHMEDNAGAR-MILKAT NO 1618, NIMBLAK,,TALUKA DIST AHMEDNAGAR",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,931.146165"
75,AJINKYA AUSHADHALAYA - 9423388762,"sandhya balajirao kulkarni, DPH, [125867-24/06/2016]","AT POST AHMEDNAGAR-GALA NO.01 (FROM SOUTH), GROUND FLOOR, PROP. NO. Z35092975,,DR.V.N. DESHPANDE HOSPITAL BUILDING, KINGS GATE ROAD,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,931.478856"
76,AL- HADI MEDICAL STORES - 9270351914,"shaikh tarnnum sadik, DPH, [125514-07/10/2016]","AHMEDNAGAR-S. NO. 346/2B/2, PLOT NO. 3, SHOP NO. 1, A11/12,PRIYDARSHINI CO-OP. HOUSING SOCIETY LTD., MUKUNDNAGAR,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,931.785703"
77,Arunadev Aushadhalay - 9226724092,"udaykumar arun bhanage, BPH, [96238-08/04/2009]","Dist Ahmednagar-Gala no. 3 Ronak Center Bistbagh Naka,Pipeline Rd. Savedi",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,932.465362"
78,Ashirwad Agencies - 9422227239,"nandprakash prasadrao shide, SSC, [C-P-23/07/2009]","Dist Ahmednagar-3877/3878 Kalasagar Apartment,Basement Stores no. 3 Juna Bajar Rd.",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,932.779381"
79,ASHIRWAD MEDICAL & GENRAL STORES - 9999999999,"sitakant suresh kirtane, DPH, [49987-07/07/2000]","Dist. Ahmednagar-H.No. 1633, S.no. 266, Shop no. 2,3 Dwarkadish Colony,Nagardewale Bhingar",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,933.09134"
80,BADVE MEDICALS - 9975757948,"mahesh ramdas sonawane, DPH, [165983-16/10/2016]","AHMEDNAGAR-SHOP NO.1, BASEMENT, C.S. NO. 3716, HOUSE NO. 3814,,BALAJI HOSPITAL, GHUMRE GALLI,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,933.402953"
81,Bhairavprasad Life Savings - 9822059019,"jayshri machhindra shinde, DPH, [191909-18/11/2016]","Ahmednagar.-H.NO.5077,,Maliwada,",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,933.769469"
82,CADILA HEALTHCARE LTD. - 9766622802,"basavraj ekhelli, BCO,BSC, [C-P-05/03/2012]","Dist. Ahmednagar-Plot no. X 19/6 MIDC,Nagapur",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,934.086689"
83,DWARKADHISH MEDICAL & GENERAL STORES - 9561774589,"rameshwar devidas gavhane, DPH, [160233-29/10/2016]","AHMEDNAGAR-SHOP NO.1, FROM EAST,1ST FLOOR, PR. NO. Z148050201,,PL. NO. 3/11, KAMALNAYAN HOSPITAL, BALIKASHRAM ROAD,SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,934.453537"
84,GAJVADAN ENTERPRISES - 9028757508,"ganesh raosaheb godge, BPH, [81649-02/05/2012]","AHMEDNAGAR-38, ANAND NAGAR,,GULMOHAR ROAD, SAVEDI",MH,AHMEDNAGAR AHM,Ahmednagar AHM,{},"1,487,872,934.825318"
