firm_name,address,licenses,reg_pharma_comp_person,tooltip
NOBAL MEDICAL & GENERAL STORES - 9730939387,"BODWAD-SHOP NO.1, C.S.T.NO.3121, HOUSE NO.2133,,NEAR RENUKA MADIR, MAOIN ROAD,",R - 2,"sk. sabir sk. haroon , DPH, [91419-12/08/2009]","['License: ', '20-20/2912 (Validity: 11/08/2019)', '21-21/2912 (Validity: 11/08/2019)']"
PAKIJA MEDICAL & GENERAL STORES - 8806891313,"Bodwad-C.S.NO.36, H.NO.1746,GROUND FLOOR SHOP NO.3(FROM EAST SIDE),NEAR JAMA MASJID, JAMA MASJID COMPLEX,",RH - 3,"shaikh shakir shaikh shabbir , DPH, [100816-06/04/2013]","['License: ', '20-72375 (Validity: 24/07/2021)', '20C-72377 (Validity: 24/07/2021)', '21-72376 (Validity: 24/07/2021)']"
RAJENDRA MEDICAL AND GENERAL STORES - 9764337005,"ENGAON-HOUSE NO.622,,MAIN ROAD",R - 2,"rajendra vasant chopade, DPH, [24747-27/01/2000]","['License: ', '20-190070 (Validity: 31/12/2021)', '21-190071 (Validity: 31/12/2021)']"
SAINATH MEDICAL & GENERAL STORES - 9403837117,"TAL- BODWAD-SHOP NO. 2, HOUSE NO. 2891,,NADGAON ROAD, BODWAD.",RH - 3,"sk zahed ahmed sk shabbir, DPH, [177191-14/02/2017]","['License: ', '20-30622 (Validity: 18/05/2021)', '20C-30624 (Validity: 18/05/2021)', '21-30623 (Validity: 18/05/2021)']"
SARKAR MEDICAL AND GENERAL STORES - 7620259774,"Bodwad-C.S.No. 3130, H.No.1765, Near Renuka Mata Temple,,At post Tal-Bodwad",RH - 3,"syed mudassir syed, DPH, [124213-18/11/2013]","['License: ', '20-87908 (Validity: 25/12/2018)', '20C-87910 (Validity: 25/12/2018)', '21-87909 (Validity: 25/12/2018)']"
SATISH MEDICAL - 7028145556,"A/P.BODWAD-PLOT NO. 276, GROUND FLOOR SHOP,,OPP. GAURI-SHANKAR COMPLEX, MUKTAI NAGAR ROAD,",RH - 3,"rahul mahavir sharma, MPH, [185040-30/09/2016]","['License: ', '20-167174 (Validity: 09/10/2021)', '20C-167176 (Validity: 09/10/2021)', '21-167175 (Validity: 09/10/2021)']"
SHARADA MEDICAL AND GENERAL STORES - 8308353898,"BODWAD-HOUSE NO. 2517, C.S.NO. 2632, GROUND FLOOR,,BAHERPETH, WARD NO. 4",RH - 3,"pramod eknath patil, DPH, [17902-05/05/2014]","['License: ', '20-97685 (Validity: 02/06/2019)', '20C-97687 (Validity: 02/06/2019)', '21-97686 (Validity: 02/06/2019)']"
SHREE PARSHVA MEDICAL AND GENERAL STORES - 9922924629,"BODWAD-GRAMPANCHAYAT HOUSE NO. 2192,MAIN ROAD",RWH - 6,"kumaranand gulabchand jain, [72924-26/03/2012]","['License: ', '20-49447 (Validity: 25/03/2017)', '20B-49449 (Validity: 25/03/2017)', '20C-49451 (Validity: 25/03/2017)', '20D-49452 (Validity: 25/03/2017)', '21-49448 (Validity: 25/03/2017)', '21B-49450 (Validity: 25/03/2017)']"
SHREE SAMARTH MEDICAL & GENERAL STORES - 9881339106,"SHAILWAD-HOUSE NO.59,,MAIN ROAD,",RH - 3,"yogesh onkar band, DPH, [49012-19/05/2001]","['License: ', '20-20/1642 (Validity: 31/12/2017)', '20C-103586 (Validity: 29/09/2019)', '21-21/1642 (Validity: 31/12/2017)']"
SHRI GAYATRI CHEMIST - 8698341081,"BODWAD-SHOP NO.1 , HOUSE NO.2687/1, C.S.T.NO.2769,,STATION ROAD,",RH - 3,"rupali subhash mahajan, DPH, [69230-07/05/2012]","['License: ', '20-20/2475 (Validity: 20/05/2017)', '20C-20C/981 (Validity: 20/05/2017)', '21-21/2475 (Validity: 20/05/2017)']"
SHRI MEDICAL & GENERAL STORE - 9404051418,"BODWAD-HOUSE NO. 2836, SAKLA COLONY,,NEAR ARUNODYA SAWMILL, NADGAON ROAD,",RH - 3,"pankaj mohansing patil, DPH, [80479-13/02/2008]","['License: ', '20-20/2687 (Validity: 06/05/2018)', '20C-20C/1131 (Validity: 06/05/2018)', '21-21/2687 (Validity: 06/05/2018)']"
SHRIKRUSHNA MEDICAL & GENERAL STORES - 9860275295,"BODWAD-HOUSE NO. 2689 & 2746, C.S.NO. 2771, GALA NO. 1,,FRONT OF KRUSHI UTTAPANNA BAZAR SAMITI, STATION ROAD",RWH - 6,"sandesh subhash chaudhari, DPH, [87486-26/05/2011]","['License: ', '20-31909 (Validity: 12/06/2021)', '20B-93060 (Validity: 19/03/2019)', '20C-31911 (Validity: 12/06/2021)', '20D-93062 (Validity: 19/03/2019)', '21-31910 (Validity: 12/06/2021)', '21B-93061 (Validity: 19/03/2019)']"
SHRIRAM GENERAL STORES - 9404492595,"BODWAD-HOUSE NO.27,MAIN ROAD,",S - 1, ,"['License: ', '20A-189980 (Validity: 31/12/2021)']"
SONALI MEDICAL AND GENERAL STORES - 9420386427,"BODWAD-HOUSE NO.2675, BASEMENT,,JAMNER ROAD,",RWHX - 8,"sony vilas teli, DPH, [156230-04/10/2014]","['License: ', '20-105934 (Validity: 29/10/2019)', '20B-105936 (Validity: 29/10/2019)', '20C-105938 (Validity: 29/10/2019)', '20D-105939 (Validity: 29/10/2019)', '20F-105940 (Validity: 29/10/2019)', '20G-105941 (Validity: 29/10/2019)', '21-105935 (Validity: 29/10/2019)', '21B-105937 (Validity: 29/10/2019)']"
SWAYAM MEDICAL AND GENERAL STORES - 9423186302,"Bodwad-H.No. 7414/1, Gat No. 115/6+7, Ground Floor, In premises of,Samchhaya Hospital, Near Rest House, Jamner Road,",R - 2,"pavankumar anilkumar agrawal, DPH, [134991-15/01/2015]","['License: ', '20-20/229 (Validity: 26/04/2019)', '21-21/229 (Validity: 26/04/2019)']"
TRIMURTI MEDICAL AND GENERAL STORES - 9860108403,"BODWAD-SHOP NO. 1, TALMAJALA, C.S.NO. 2763, HOUSE NO. 2601,GAURI SHANKAR COMPLEX, WING-A, NADGAON ROAD",RH - 3,"sanjay raghunath badgujar, DPH, [37606-11/06/2009]","['License: ', '20-20/1924 (Validity: 10/06/2019)', '20C-20C/1239 (Validity: 10/06/2019)', '21-21/1924 (Validity: 10/06/2019)']"
ULHAS MEDICALS AND GENERAL STORES - 8055369800,"BODWAD-PLOT NO. 177,,JAMNER ROAD,",RH - 3,"ulhas mohandas khelwade, DPH, [47165-06/04/2013]","['License: ', '20-72779 (Validity: 05/04/2018)', '20C-72781 (Validity: 05/04/2018)', '21-72780 (Validity: 05/04/2018)']"
VEDANT MEDICAL AND GENERAL STORES - 9766799001,"JAMTHI TAL.BODWAD-HOUSE NO.345,MAIN ROAD,JAMTHI.",RH - 3,"sohail ahmad abdul nasir, DPH, [161984-15/02/2016]","['License: ', '20-143191 (Validity: 08/03/2021)', '20C-143193 (Validity: 08/03/2021)', '21-143192 (Validity: 08/03/2021)']"
VIPRIYA MEDICAL & GENEREAL STORE - 989060467,"BODWAD-SHOP NO.2, WARD NO.4, MALMATTA NO.2594,C.S.T.NO.2594,,GORAKHNATH NAGAGR",RH - 3,"ashish suresh badgujar, DPH, [91723-13/02/2008]","['License: ', '20-20/2686 (Validity: 12/02/2018)', '20C-20C/1130 (Validity: 12/02/2018)', '21-21/2686 (Validity: 12/02/2018)']"
