firm_name,address,licenses,reg_pharma_comp_person,tooltip
ANAND AGENCIES - 9764765569,"BHUSAWAL-C.S.NO. 3292/A/11A, ANAND NIWAS, FIRST FLOOR,,NEAR PANDURANG TALKIES, JAMNER ROAD,",WH - 3,"ishvardas chimanlal chaudhary, DPH, [20964-28/03/2011]","['License: ', '20B-29581 (Validity: 20/05/2019)', '20D-29583 (Validity: 20/05/2019)', '21B-29582 (Validity: 20/05/2019)']"
ANAND MEDICAL STORES,"BHUSAWAL-ROOM NO.1 &2, TALMAJALA, C.S.T.NO.3292A/11A,,HOUSE NO.,5545 , NEW HOUSE NO.4/336,JAMER ROAD,",RWH - 6,"vinita tejesh chaudhari, BPH, [66392-22/08/2013]","['License: ', '20-20/59 (Validity: 29/09/2018)', '20B-20B/1103 (Validity: 29/09/2018)', '20C-20C/52 (Validity: 29/09/2018)', '20D-20D/111 (Validity: 29/09/2018)', '21-21/59 (Validity: 29/09/2018)', '21B-21B/966 (Validity: 29/09/2018)']"
ANGURI MEDICOS - 9999999999,"BHUSAWAL-C.S.T.NO 2783/A/711 SHIVAJI NAGAR,MAIN ROAD",RH - 3,"akhlaque salim ahmad shaikh, DPH, [39853-24/09/1997]","['License: ', '20-20/1155 (Validity: 31/12/2017)', '20C-74636 (Validity: 20/01/2018)', '21-21/1155 (Validity: 31/12/2017)']"
ANIL DISTRIBUTORS - 9923494943,"BHUSAWAL-BESIDE SCHOOL NO. 5, C.S.NO. 3122, 3123,WEEKLY MARKET",WHX - 4,"mr. anil chandumal ahuja, BSC, [C-P-24/10/2013]","['License: ', '20B-86047 (Validity: 19/02/2020)', '20D-86049 (Validity: 19/02/2020)', '20G-114440 (Validity: 24/02/2020)', '21B-86048 (Validity: 19/02/2020)']"
ANIL MEDICAL AND GENERAL STORES - 9823233144,"NIMBHORA BK.(DIPNAGAR)-PLOT NO 49,MAIN ROAD",S - 2, ,"['License: ', '20A-20A/189 (Validity: 11/08/2017)', '21A-21A/113 (Validity: 11/08/2017)']"
ANIL MEDICALS - 9923494942,"BHUSAWAL-GALA NO. 1, SERVE NO. 3105/10/2, 3105/10/3, 3105/10/4,HOUSE NO. 5/94, GANGARAM PLOT, JAMNER ROAD",WHX - 4,"ashish ashokkumar ahuja, BSC, [C-P-21/12/2015]","['License: ', '20B-20B/1115 (Validity: 19/02/2020)', '20D-20D/62 (Validity: 19/02/2020)', '20G-114441 (Validity: 24/02/2020)', '21B-21B/979 (Validity: 19/02/2020)']"
ANIL MEDICALS (GODAWOON) - 9923494942,"BHUSAWAL-C.S.T.NO.3111/25/54, GALA NO.4,,RADHASWAMI COMPLEX, ATHAWAE BAZAR,",W - 2,"ghanasham chandumal ahuja, BSC, [C-P-15/04/2005]","['License: ', '20B-20B/1306 (Validity: 14/04/2020)', '21B-21B/1162 (Validity: 14/04/2020)']"
ANUSHKA AGENCIES,"BHUSAWAL-C.S.T.NO.170, PLOT NO.6, HOUSE NO.5/2008,,HANUMAN NAGAR,",W - 2,"pradeep pandharinath kharate, DPH, [42356-25/06/2007]","['License: ', '20B-20B/1430 (Validity: 24/06/2017)', '21B-21B/1283 (Validity: 24/06/2017)']"
AQSA MEDICAL - 8446492424,"A/P.VARANGAON-C.S.NO. 197 GHAR NO.1824,GROUND FLOOR SHOP,KHIDKI WADA, AQSA NAGAR",RH - 3,"ashraf shah mushir shah, BPH, [159843-08/09/2016]","['License: ', '20-164531 (Validity: 16/09/2021)', '20C-164533 (Validity: 16/09/2021)', '21-164532 (Validity: 16/09/2021)']"
ARCHANA MEDICAL AND GENEAL STORES - 9049419668,"BHUSAWAL-CST NO.2785M HOUSE NO.3/210,,SHIVAJI NAGAR",RH - 3,"hemant jagdish sharma, DPH, [26901-22/05/2000]","['License: ', '20-186833 (Validity: 31/12/2021)', '20C-186834 (Validity: 31/12/2021)', '21-186835 (Validity: 31/12/2021)']"
ARJUN MEDICAL AND GENERAL STORES - 9921700240,"BHUSAWAL-ROOM NO. 278, C.S.NO. 139+140+172A (1+2B),,SINDHI COLONY, MAIN ROAD",RH - 3,"gautam brijlal lalwani, DPH, [25690-03/10/1991]","['License: ', '20-20/558 (Validity: 06/05/2018)', '20C-20C/165 (Validity: 06/05/2018)', '21-21/558 (Validity: 06/05/2018)']"
AROGYADIP MEDICAL & GENERAL STORES - 9823112321,"BHUSAWAL-SHOP NO. 722, AMBEDKAR CHOWK,,VARANGAON ROAD",RH - 3,"sunil dalchand agrawal, DPH, [21428-09/08/1988]","['License: ', '20-186419 (Validity: 31/12/2021)', '20C-186420 (Validity: 31/12/2021)', '21-186421 (Validity: 31/12/2021)']"
ARUNA MEDICAL STORES - 7350651551,"BHUSAWAL-ROOM NO.1, GF, H. NO. 4/4700, C.S.NO. 3292A/27/8,TIMBER MARKET, BEHIND PANDURANG TALKIES,",RH - 3,"khushal sharad patil, DPH, [92712-15/12/2016]","['License: ', '20-183255 (Validity: 20/12/2021)', '20C-183257 (Validity: 20/12/2021)', '21-183256 (Validity: 20/12/2021)']"
ASHA AGENCIES - 7588648345,"N. H. WAY NO.6, BHUSAWAL-HOUSE NO.9/2191, PLOT NO.24,,MAHESH NAGAR, NEAR DHANASHRI GAS AGENCIES,",WH - 3,"rajesh suresh bhangale, DPH, [C-P-22/03/2016]","['License: ', '20B-145261 (Validity: 01/04/2021)', '20D-145263 (Validity: 01/04/2021)', '21B-145262 (Validity: 01/04/2021)']"
ASHIRVAD MEDICAL & GENERAL STORES - 9923433554,"BHUSAWAL-C.S.NO 3292B, SHOP NO 1,,NEAR PANDURANG TALKIES,JAMNER ROAD",RH - 3,"rajashri vijay patil, BPH, [136986-19/07/2014]","['License: ', '20-188103 (Validity: 31/12/2021)', '20C-188104 (Validity: 31/12/2021)', '21-188105 (Validity: 31/12/2021)']"
ASHISH MEDICAL AND GENERAL STORES - 9921040049,"BHUSAWAL-PLOT NO. 553/2, C.S.NO. 139+140+172A/1+2B,,SINDHI COLONY, NANAK NAGAR, JAMNER ROAD,",RH - 3,"ashish gopaldas kukreja, DPH, [118155-25/01/2012]","['License: ', '20-47583 (Validity: 27/02/2017)', '20C-47585 (Validity: 27/02/2017)', '21-47584 (Validity: 27/02/2017)']"
ASPACK MEDICIENT - 8698080808,"Bhusawal-City Survey No.: 1379/A, Municipal House No. 2/178, 1st Foor,Above M.D. Patel Medical, Near Shitaladevi temple,Bazar ward",W - 2,"amol suresh patil, DPH, [C-P-26/06/2016]","['License: ', '20B-158442 (Validity: 27/07/2021)', '21B-158443 (Validity: 27/07/2021)']"
ATHARVA AGENCIES,"BHUSAWAL-H. NO 10/1634, SHANTI COMPLEX,YAWAL ROAD",WH - 3,"bhushan gendalal chaudhari, BSC, [C-P-20/09/2007]","['License: ', '20B-20B/1307 (Validity: 19/09/2017)', '20D-20D/130 (Validity: 19/09/2017)', '21B-21B/1163 (Validity: 19/09/2017)']"
ATHARVA MEDICAL AND GENERAL STORES - 9527095393,"VARANGAON TAL.BHUSAWAL-C.S.T.NO.1064, HOUSE NO.995,,GANDHI CHOUK ,",RH - 3,"ashish narayan sonar, BPH,DPH, [105944-18/02/2016]","['License: ', '20-143158 (Validity: 08/03/2021)', '20C-143160 (Validity: 08/03/2021)', '21-143159 (Validity: 08/03/2021)']"
BALAJI MEDICAL & GENERAL STORES - 9999999999,"BHUSAWAL-721/3,,VARNGAON ROAD,",R - 2,"bharat ramkishan tiwari, DPH, [18985-01/01/2008]","['License: ', '20-20/281 (Validity: 31/12/2017)', '21-21/281 (Validity: 31/12/2017)']"
BALAJI MEDICAL AGENCY - 9422863819,"BHUSAWAL-SERVE NO. 143/1/1, HOUSE NO. 5/313/1,GANGARAM PLOT",WH - 3,"anup kandamal hinduja, DPH, [C-P-24/12/2014]","['License: ', '20B-110791 (Validity: 06/01/2020)', '20D-110793 (Validity: 06/01/2020)', '21B-110792 (Validity: 06/01/2020)']"
BEHERA MEDICAL & GENERAL STORES - 9422224730,"BHUSAWAL-SHOP NO.1, TALMAJLA, C.S.T.NO.3292A, PLOT NO.19,,TIMBAR MARKET ROAD, , NEAR UNIAN BANK,",R - 2,"varsha jagdish mahajan, DPH, [147516-18/02/2014]","['License: ', '20-20/2983 (Validity: 05/02/2020)', '21-21/2983 (Validity: 05/02/2020)']"
BHAGYASHRI MEDICAL AND GENERAL STORES - 9764570777,"KINHI-HOUSE NO. 721, SHOP NO. 1,,NEAR BUS STAND,",RH - 3,"pravin padmakar firke, DPH, [35708-16/09/2000]","['License: ', '20-183768 (Validity: 31/12/2021)', '20C-78076 (Validity: 14/06/2018)', '21-183769 (Validity: 31/12/2021)']"
BHANGALE MEDICAL AND GENERAL STORES - 9999999999,"VARANGAON-HOUSE NO 2673, NEAR BUS STAND,MAIN ROAD",R - 2,"pradip subhash bhangale, DPH, [30091-16/04/1993]","['License: ', '20-20/676 (Validity: 31/12/2017)', '21-21/676 (Validity: 31/12/2017)']"
BHARAT DISTRIBUTORS - 9823928660,"BHUSAWAL-S. NO.11/2/2/1, PLOT NO.2, UPPER FLOOR WEST SIDE SHOP NO.3,,MOHAMMADI NAGAR, KHADKA ROAD,",WH - 3,"mazhar khan ismail khan pathan, DPH, [C-P-02/08/2016]","['License: ', '20B-161317 (Validity: 19/08/2021)', '20D-161319 (Validity: 19/08/2021)', '21B-161318 (Validity: 19/08/2021)']"
BHARAT MEDICAL AND GENERAL STORES - 9765469265,"BHUSAWAL-SHOP NO.10, KAMALA NEHRU SOPPING CENTER,,JAMNER ROAD,",RHX - 4,"shailesh pukharaj rathod, DPH, [22159-07/03/1989]","['License: ', '20-20/363 (Validity: 31/12/2017)', '20C-20C/323 (Validity: 31/12/2017)', '20F-114854 (Validity: 02/03/2020)', '21-21/363 (Validity: 31/12/2017)']"
BHUSAWAL MEDICAL AND DISTRIBUTORS - 9552644381,"Bhusawal, Tal-Bhusawal-H.No. 6/58, C.S.No. 4234, First Floor, New Satara,,Garud Plot, Near Omkareshwar Temple,",W - 2,"mr. sunil waman patil, DPH, [C-P-29/10/2013]","['License: ', '20B-86882 (Validity: 03/12/2018)', '21B-86883 (Validity: 03/12/2018)']"
BHUSHAN AGENCIES - 9049952000,"BHUSAWAL.-C.S.NO. 22, MUNICIPLE HOUSE NO. 5/2609/3, PLOT NO. 3,,HUDKO COLONY, JAMNER ROAD,",WH - 3,"chandrashehar ravindra sonawane, DPH, [117988-11/07/2011]","['License: ', '20B-34417 (Validity: 24/07/2021)', '20D-34419 (Validity: 24/07/2021)', '21B-34418 (Validity: 24/07/2021)']"
BOMBAY TRADERS - 9822233345,"BHUSAWAL-ROOM NO1&2,GROUND FLOOR & POTMALA, MUNICIPAL HOUSE NO.857,,NEW H.NO.2/174, STATION ROAD,",W - 1,"naresh bhagwan sharma, BSC, [C-P-23/02/2007]","['License: ', '20B-197115 (Validity: 22/02/2022)']"
BOROLE MEDICALS - 9422224730,"BHUSAWAL-S.S.NO.3111/23, NEW AREA WARD,,NEAR BRAHMAN SANGH ,",R - 2,"anil wasudeo dhande, DPH, [30343-12/12/2015]","['License: ', '20-137496 (Validity: 06/01/2021)', '21-137497 (Validity: 06/01/2021)']"
CHAITANYA MEDICAL AND GENERAL STORES - 7588343375,"KURHE PANACHE-GHAR NO.1071,GROUND FLOOR SHOP,,OPP. DEEPANAND BUILDING ,NEAR KRANTI CHOWK,",RH - 3,"pushkaraj mangal patil, BPH, [176302-17/10/2016]","['License: ', '20-169967 (Validity: 25/10/2021)', '20C-169969 (Validity: 25/10/2021)', '21-169968 (Validity: 25/10/2021)']"
CHANDAN AGENCIES - 9999999999,"BHUSAWAL-SHOP NO. 2 , C.S.T.NO.145, 146,JAMNER ROAD,",W - 2,"avinash madhukar mahajan, MCO, [C-P-07/04/1993]","['License: ', '20B-20B/571 (Validity: 31/12/2017)', '21B-21B/688 (Validity: 31/12/2017)']"
CHANDAN MEDICALS & GENERALS - 7588687880,"BHUSAWAL-H. NO 5/486 OPP, OF NEW ENGLISH SCHOOL,JAMNER ROAD",RH - 3,"yogesh pravin mahajan, BPH, [168670-05/02/2015]","['License: ', '20-186338 (Validity: 31/12/2021)', '20C-186339 (Validity: 31/12/2021)', '21-186340 (Validity: 31/12/2021)']"
CHAUDHARI MEDICAL & GENERAL STORES - 9999999999,"BHUSAWAL-C.S.T.NO.3130A/`1, HOUSE NO.4/184,ATHAWADE BAZAR",R - 2,"hitendra bhaskar chaudhari, DPH, [26834-01/08/1995]","['License: ', '20-20/902 (Validity: 31/12/2017)', '21-21/902 (Validity: 31/12/2017)']"
CHIEF MEDICAL SUPTD. CENTRAL RAILWAY DVI.HOSPITAL - 9503991848,"BHUSAWAL-DIV.RAILWAY HOSPITAL,,ORDANANDCE FACTORY ROAD,",N - 1,"shankar ambuskar, OTH, [C-P-12/12/2011]","['License: ', 'ND2-JAL/NDPS-2/01-12/14 (Validity: 31/12/2016)']"
CHORDIA MEDICAL & GENERAL STORES - 9999999999,"BHUSAWAL-SHOP NO.4, PLOT NO.26, HOUSE NO.4029,,OPP.NEW ENGLISH SCHOOL, JAMNER ROAD,",RWH - 3,"rajesh birdichand chordiya, DPH, [18451-02/02/1987]","['License: ', '20-20/266 (Validity: 31/12/2017)', '20C-20C/85 (Validity: 31/12/2017)', '21B-21/266 (Validity: 31/12/2017)']"
CITY MEDICAL AND GENERAL STORES - 9764919264,"BHUSAWAL-HOUSE NO 2015/2, NEAR AMARDEEP TALKIES,MAIN ROAD",RH - 3, ,"['License: ', '20-20/923 (Validity: 31/12/2017)', '20C-20C/295 (Validity: 31/12/2017)', '21-21/923 (Validity: 31/12/2017)']"
DAKSH MEDICAL AND GENERAL STORES - 7350400856,"SAKEGAON-HOUSE NO. 350,,GANDHI CHOWK,",RH - 3,"sachin damu sapakale, DPH, [156918-17/07/2014]","['License: ', '20-101114 (Validity: 01/08/2019)', '20C-101116 (Validity: 01/08/2019)', '21-101115 (Validity: 01/08/2019)']"
DATTA MEDICAL AND GENERAL STORES - 9890726354,"BHUSAWAL-KULKARNI PLOT NO 1025/2,,MAIN ROAD",RH - 3,"satish lahu patil, DPH, [13240-04/04/1983]","['License: ', '20-181669 (Validity: 31/12/2017)', '20C-175214 (Validity: 31/12/2021)', '21-181670 (Validity: 31/12/2017)']"
DATTAKRUPA DISTRIBUTOERS - 9403273122,"BHUSAWAL-SHOP NO.G-11,NAVSHAKTI ARKED , GAT NO.147/1/1,,PLOT NO.3A. JAMNER ROAD,",RW - 4,"pooja dhananjay dhande ( pushpalata chhagan firake), DPH, [135058-25/02/2013]","['License: ', '20-20/2160 (Validity: 29/11/2019)', '20B-20B/1281 (Validity: 29/11/2019)', '21-21/2160 (Validity: 29/11/2019)', '21B-21B/1138 (Validity: 29/11/2019)']"
DHAKE MEDICAL & GENERAL STORES - 8087495508,"BHUSAWAL-HOUSE NO.5/340, PLOT NO.40A/5, HASANALI PLOT,JAMNER ROAD,",R - 2,"parag chandrakant dhake, DPH, [83507-07/11/2014]","['License: ', '20-20/2150 (Validity: 28/11/2019)', '21-21/2150 (Validity: 28/11/2019)']"
DHANASHREE MEDICAL & GENERAL STORES - 9867624784,"BHUSAWAL-SHOP.NO.11, CSN 131-C/ 2 / 1, SAIKRUPA APPT.,GROUND FLOOR, SAHAKAR NAGAR, JALGAON ROAD,",RH - 3,"bhagavat gangaram chaudhari, DPH, [21070-14/02/2007]","['License: ', '20-20/1155 (Validity: 13/02/2017)', '20C-20C/766 (Validity: 13/02/2017)', '21-21/1155 (Validity: 13/02/2017)']"
DHANASHRI MEDICOZ AND GENERAL STORES - 9423954331,"BHUSAWAL-SHOP NO. 1, C.S.NO. 141A, PLOT NO. 1A, Ground Floor,,JAMNER ROAD, NEAR BARODA BANK,",RH - 3,"lalit rupchand choudhari, DPH, [28262-20/12/2013]","['License: ', '20-88285 (Validity: 02/01/2019)', '20C-88287 (Validity: 02/01/2019)', '21-88286 (Validity: 02/01/2019)']"
DHANVANTARI MEDICAL & GENERAL STORES - 9403273122,"DEEPNAGAR-C.S.NO 49, NEAR GAT NO 2,,MAIN ROAD,",RH - 3,"pranita vishnu chaudhari, DPH, [37719-24/04/1995]","['License: ', '20-20/881 (Validity: 31/12/2017)', '20C-110358 (Validity: 30/12/2019)', '21-21/881 (Validity: 31/12/2017)']"
DHANVANTARI MEDICAL & GENERAL STORES - 976533733,"BHUSAWAL-SHOP NO.1, C.S.T.NO.222/2, PLOT NO.36, H.NO.10/2190,BHIRUD COLONY, RINGROAD,",RH - 3,"atul ravindra mahajan, DPH, [89234-27/06/2008]","['License: ', '20-20/2746 (Validity: 26/06/2018)', '20C-20C/1166 (Validity: 26/06/2018)', '21-21/2746 (Validity: 26/06/2018)']"
DHANWANTRI MEDICAL AND GENERAL STORES - 9881620402,"VARANGAON,-HOUSE NO. 2375,,RAMPETH,",RH - 3,"mr. dipesh shaligram patil, DPH, [140496-14/06/2013]","['License: ', '20-40678 (Validity: 20/06/2018)', '20C-76526 (Validity: 20/06/2018)', '21-40679 (Validity: 20/06/2018)']"
DHIRAJ AGENCIES,"BHUSAWAL-SHOP NO.8,SANGITANI COMPLEX,JAMNER ROAD",W - 2,"jagannath dhansing chaudhari, BSC, [C-P-13/08/2007]","['License: ', '20B-20B/1437 (Validity: 12/08/2017)', '21B-21B/1290 (Validity: 12/08/2017)']"
DHIRAJ MEDICAL & GENERAL STORES - 9270529788,"SAKRI-HOUSE NO.74,MAIN RAOD,",RH - 3,"dhiraj nandkishor chaudhari, DPH, [156420-11/07/2014]","['License: ', '20-186866 (Validity: 31/12/2021)', '20C-186867 (Validity: 31/12/2021)', '21-186868 (Validity: 31/12/2021)']"
DHIRAJ MEDICAL AND GENERAL STORES - 9822220714,"Jalgaon-House No. 1593/1, At post- Khadake,Tal Bhusawal, Dist Jalgaon",RH - 3,"suraj nandkishor chaudhari, DPH, [113778-17/07/2012]","['License: ', '20-56798 (Validity: 29/07/2017)', '20C-56800 (Validity: 29/07/2017)', '21-56799 (Validity: 29/07/2017)']"
DINAR MEDICAL AND SALES - 9371066828,"BHUSAWAL-GALA NO.01 NEAR RAZA TOWER,KHADKA ROAD",RWH - 6,"shaikh jamil ahmed shakil ahmed, DPH, [89393-17/01/2016]","['License: ', '20-138519 (Validity: 18/01/2021)', '20B-138521 (Validity: 18/01/2021)', '20C-138523 (Validity: 18/01/2021)', '20D-138524 (Validity: 18/01/2021)', '21-138520 (Validity: 18/01/2021)', '21B-138522 (Validity: 18/01/2021)']"
DIVYALAXMI MEDICAL - 9175705763,"BHUSAWAL-SHOP NO.1, C.S.T.NO.82/2K, PLOT NO.4, HOUSE NO.7/706,F. PLOT NO.111, SHANTI NAGAR, YAWAL ROAD,",RH - 3,"dhanashree ramakant patil, BPH,DPH, [107342-01/10/2014]","['License: ', '20-20/2885 (Validity: 22/06/2019)', '20C-20C/1242 (Validity: 22/06/2019)', '21-21/2885 (Validity: 22/06/2019)']"
DNYANESHWAR MEDICAL STORES - 9423974835,"BHUSAWAL-4946/1, OPP, OF SONICHHA WADI,JAMNER ROAD",RH - 3,"rajendra atmaram patil, DPH, [24070-12/07/1990]","['License: ', '20-186435 (Validity: 31/12/2021)', '20C-186436 (Validity: 31/12/2021)', '21-186437 (Validity: 31/12/2021)']"
"DRUG STORES OF CHIEF ENGINEER, B.T.P.S. DEEPNAGAR - 8411956773","DEEPNAGAR-GAT NO.160,,B.T.P.S. DEEPNAGAR DISPENSARY AWAR,",RH - 3,"pankaj sopan zope, DPH, [51062-03/11/2015]","['License: ', '20-133102 (Validity: 06/11/2020)', '20C-133104 (Validity: 06/11/2020)', '21-133103 (Validity: 06/11/2020)']"
DURVANKUR ENTERPRISES - 9923142429,"BHUSAWAL-Shop No. F-20 & F-21, S.No.147/1/1, TP Scheme No. 01,,F. P.No. 3A/2, First Floor, Navshakti Aarked, Jamner Raod,",W - 2,"kamlesh vijay patil, HSC, [C-P-30/12/2006]","['License: ', '20B-20B/1398 (Validity: 16/01/2019)', '21B-21B/1253 (Validity: 16/01/2019)']"
DWARKA ENTERPRISES,"AT POST-KANDARI-GALA NO.27 (MALMATTA NO.3327), GALA NO.26 (MALMATTA NO.2433),WARD NO.4, DR.BABASAHEB AMBEDKAR SHOPPING COMPLEX",WH - 3,"santosh pralhad gawale, BSC, [C-P-18/04/2007]","['License: ', '20B-20B/1417 (Validity: 17/04/2017)', '20D-20D/166 (Validity: 17/04/2017)', '21B-21B/1271 (Validity: 17/04/2017)']"
EKDANTA MEDICAL & GENERAL STORES - 9823025752,"BHUSAWAL-SHOP NO.1,C.S.T.NO.4435/28/1A, HOUSE NO.5/748/3,NEAR ASTAVINAYAK MANDIR, BADRI PLOT,",RH - 3,"vilas shivaram kolhe, DPH, [18237-03/05/2013]","['License: ', '20-20/2987 (Validity: 16/02/2020)', '20C-20C/1296 (Validity: 16/02/2020)', '21-21/2987 (Validity: 16/02/2020)']"
EKTA HOMIOPATHIC - 9272289118,"BHUSAWAL-HALL NO.1 , 1ST FLOOR, C.S.T.NO.3903/39/4 TO 6,,BHAG NO.7, METHAJI PLOT,",H - 2,"sau.nanda gynanendra jain, BSC, [C-P-06/10/2009]","['License: ', '20C-20C/507 (Validity: 05/09/2019)', '20D-20D/104 (Validity: 05/09/2019)']"
ESSEM AGNCIES - 9999999999,"BHUSAWAL-ROOM NO.1,2&3, C.S.T.NO.3940/123/10,HOUSE NO 3894,NEW HOUSE NO 7/61 GARUD PLOT",W - 1,"anil dinkar narkhede, DPH, [27180-26/04/2007]","['License: ', '20B-20B/1418 (Validity: 25/04/2017)']"
EXCEL MEDICALS - 7738633919,"BHUSAWAL-SURVE.NO.22/K/1, GROUND FLOOR GALA NO.2 (FROM WEST SIDE),OPP.BILAL RESTURANT,NEAR RAZA TOWER, KHADKA ROAD",RWH - 5,"shaikh amir shaikh mukhtar, DPH, [117312-24/07/2016]","['License: ', '20-161298 (Validity: 19/08/2021)', '20B-161300 (Validity: 19/08/2021)', '20C-161302 (Validity: 19/08/2021)', '21-161299 (Validity: 19/08/2021)', '21B-161301 (Validity: 19/08/2021)']"
FALGUN PHARMACEUTICALS - 9890960881,"BHUSAWAL-C.S.T.NO.3292A/51B, HOUSE NO.4/289/1,,UMED BUILDING, NEAR PANDURANG TALKIJ",W - 2,"suhash ashokrao shirname, MSC, [C-P-22/11/2005]","['License: ', '20B-20B/1340 (Validity: 21/11/2020)', '21B-21B/1196 (Validity: 21/11/2020)']"
GAJANAN MEDICAL & GENERAL STORES - 9823028211,"BHUSAWAL-SHOP NO. 3, C.S.NO. 4434/14C,,T.V.CENTER ROAD,",RH - 3,"sanjay chudaman ingale, DPH, [54667-01/01/2008]","['License: ', '20-20/1685 (Validity: 27/02/2017)', '20C-47656 (Validity: 27/02/2017)', '21-21/1685 (Validity: 27/02/2017)']"
GALAXY PHARMA - 8485809167,"BHUSAWAL-FIRST FLOOR, ROOM NO.3, PLOT NO. 22, C.S.NO. 194/1A+1B,,MAHESH NAGAR, BEHIND DHANASHREE GAS AGENCY,",WH - 3,"yuvraj pralhad rathod, BPH, [C-P-18/10/2013]","['License: ', '20B-83288 (Validity: 20/04/2019)', '20D-83290 (Validity: 20/04/2019)', '21B-83289 (Validity: 20/04/2019)']"
"GANESH AGENCIES, - 9226388233","BHUSAWAL-ROOM NO.1/2, 1ST FLR, NAMDEO BHAVAN, CSN.3111/21/1,NEW AREA WARD, OPP.BRAHMAN SANGH,",W - 2,"ganesh bhagwat patil, BSC, [C-P-08/06/2009]","['License: ', '20B-20B/1511 (Validity: 07/06/2019)', '21B-21B/1364 (Validity: 07/06/2019)']"
GANESH MEDICAL STORES - 9867624784,"BHUSAWAL-SHOP NO.24 , 29 ,,ATHAWADE BAZAR",RSHX - 4,"balchand dayaldas chandwani, DPH, [7086-13/09/2007]","['License: ', '20A-20/800 (Validity: 12/09/2017)', '20C-20C/260 (Validity: 12/09/2017)', '20F-20F/40 (Validity: 12/10/2020)', '21-21/800 (Validity: 12/09/2017)']"
