firm_name,address,licenses,reg_pharma_comp_person,tooltip
GANRAJ MEDICALS - 8857992700,"AMALNER-SHOP NO.7, S.nO.29/2B,NEW PLOT, OPP. NEW COURT",RH - 3,"punamchand kishorchand chordiya, DPH, [168097-02/09/2015]","['License: ', '20-129198 (Validity: 20/09/2020)', '20C-129200 (Validity: 20/09/2020)', '21-129199 (Validity: 20/09/2020)']"
GURUKRUPA MEDICAL & GENERAL STORES - 9665124647,"TAKARKHEDE-ROOM NO.1, HOUSE NO.261/B, WARD NO.1,MAIN ROAD",RH - 3,"ajabrao arjun jadhav, DPH, [68363-23/08/2006]","['License: ', '20-197085 (Validity: 22/08/2021)', '20C-197086 (Validity: 22/08/2021)', '21-197087 (Validity: 22/08/2021)']"
HIMALAYA MEDICAL & GENERAL STORES - 9970440352,"AT POST- MANGRUL-HOUSE NO.26,,ROOM NO.1,",RH - 3,"harshal dharmaraj saindane, DPH, [69722-15/11/2003]","['License: ', '20-20/1972 (Validity: 14/11/2018)', '20C-87089 (Validity: 09/12/2018)', '21-21/1972 (Validity: 14/11/2018)']"
HIRA MEDICALS - 9421616470,"AMALNER-SHOP NO 15&16, NEW HEGDEVAR SHOPPING COMPLEX,MAIN ROAD",RH - 3,"akshay vijay daga, DPH, [193903-03/01/2017]","['License: ', '20-20/2645 (Validity: 05/12/2017)', '20C-2C/1094 (Validity: 05/12/2017)', '21-21/2645 (Validity: 05/12/2017)']"
JAI GURU RAM MEDICAL & GENERAL STORE - 9999999999,"AT POST-AMALGAON-MALMATTA NO.120,,LALBAHADUR VAYAPARI SANKUL",R - 2,"vinod shantilal chhajed, DPH, [65738-02/05/2008]","['License: ', '20-20/2720 (Validity: 01/05/2018)', '21-21/2720 (Validity: 01/05/2018)']"
JAIDRUGA MEDICAL & GENERAL STORES - 9923299608,"AMALNER-C.T.S.NO.3516/33, MUNICIPAL HOUSE NO.167,,NEAR DURGA HOSPITAL",RX - 3,"anil shaligram thakare, DPH, [42565-21/01/2002]","['License: ', '20-188570 (Validity: 20/01/2022)', '20F-114226 (Validity: 22/02/2020)', '21-188571 (Validity: 20/01/2022)']"
JAYANT MEDICAL STORES - 9665173338,"AMALNER-C.S.T.NO 3069/2,SUBHASH CHOWK, STATION ROAD,",RW - 4,"naredndra balu patil, DPH, [29553-01/04/1997]","['License: ', '20-194122 (Validity: 24/09/2021)', '20B-194123 (Validity: 24/09/2021)', '21-194124 (Validity: 24/09/2021)', '21B-194125 (Validity: 24/09/2021)']"
JEEVAN MEDICALS AND GENERAL STORES - 9420941038,"AMALNER-C.S.T.NO 82/5A, NEAR SCHOOL NO 5,KUNTE ROAD",RH - 3,"milind pandit dere, DPH, [24050-25/03/1992]","['License: ', '20-188562 (Validity: 31/12/2021)', '20C-188563 (Validity: 31/12/2021)', '21-188564 (Validity: 31/12/2021)']"
KAUSTUBH DISTRIBUTORS - 9422278334,"AMALNER-TP NO 28/5,NEW PLOT BHAGWAT ROAD",RWHX - 6,"prashant bhatu patil, DPH, [35964-27/03/1996]","['License: ', '20-94917 (Validity: 16/04/2019)', '20B-20B/845 (Validity: 16/04/2019)', '20C-94919 (Validity: 16/04/2019)', '20F-94920 (Validity: 16/04/2019)', '21-94918 (Validity: 16/04/2019)', '21B-21B/727 (Validity: 16/04/2019)']"
KIRTI MEDICAL & GENERAL STORES - 9422233244,"AMALNER-2759/60, BAJARPETH, RANI LAXMIBAI CHOWK,MAIN ROAD",RWH - 5,"kirtikumar amrutlal shah, [7832-01/04/2008]","['License: ', '20-20/9169 (Validity: 31/03/2018)', '20B-20B/1164 (Validity: 31/03/2018)', '20C-20C/338 (Validity: 31/03/2018)', '21-21/8168 (Validity: 31/03/2018)', '21B-21B/2138 (Validity: 31/03/2018)']"
KOMAL MEDICAL STORES - 9028324000,"AMALNER-T.P. NO. 56, 57,OPP .S.T.STAND",RH - 3,"bharat kishorkumar sasanani, DPH, [51157-09/03/2000]","['License: ', '20-179931 (Validity: 31/12/2021)', '20C-58542 (Validity: 28/08/2017)', '21-179932 (Validity: 31/12/2021)']"
KRUSHNA MEDICAL AND GENERAL STORES - 9763881970,"WAVADE-HOUSE NO.604,,NEAR BUS STOP",RH - 3,"vikas arvind patil, DPH, [135719-12/10/2015]","['License: ', '20-131358 (Validity: 20/10/2020)', '20C-131360 (Validity: 20/10/2020)', '21-131359 (Validity: 20/10/2020)']"
LOKSEVA MEDICAL AND GENERAL STORES - 9420108503,"Dist - Jalgaon-C. S. No. 1956, Zami Chok, Amalner,Tal- Amalner",RH - 3,"rakesh gangaram mahajan, DPH, [51465-16/12/2013]","['License: ', '20-52296 (Validity: 12/05/2017)', '20C-52298 (Validity: 12/05/2017)', '21-52297 (Validity: 12/05/2017)']"
M.MOHASINBHAI & COMPANY - 9226163272,"AMALNER-SHOP NO.1, C.S.T.NO.884,,BAZAR PETH, FRONT OF DAGDI DARWAJA",RH - 3,"sushma ashok shimpi, DPH, [50245-15/04/2013]","['License: ', '20-20/693 (Validity: 24/03/2018)', '20C-20C/1014 (Validity: 24/03/2018)', '21-21/693 (Validity: 24/03/2018)']"
MAHAJAN MEDICAL & GENERAL STORE - 9923449001,"AMALNER-SHOP NO.1, C.S.T.NO.3411B, & 3446,MALI WADA, ZAMI CHOWK,",RWH - 6,"pravin barku mahajan, DPH, [79801-29/09/2006]","['License: ', '20-165837 (Validity: 21/09/2021)', '20B-48943 (Validity: 15/03/2017)', '20C-165838 (Validity: 21/09/2021)', '20D-48945 (Validity: 15/03/2017)', '21-165839 (Validity: 21/09/2021)', '21B-48944 (Validity: 15/03/2017)']"
MAHAVIR MEDICAL & GENERAL STORES - 9272522473,"AMALNER-SHOP NO.1, C.S.T.NO.2656, DAGDI DARWAJA,ABBASIYA MASJID ,",RH - 3,"virupchand bhagchand jain, DPH, [11346-04/03/2006]","['License: ', '20-20/2368 (Validity: 03/03/2021)', '20C-20C/877 (Validity: 03/03/2021)', '21-21/2368 (Validity: 03/03/2021)']"
MANUSHRI MEDICAL & GENERAL STORES - 9423902761,"AMALNER-SHOP NO 1, T.P. NO. 217/17, SAI SHRADHHA NAGAR,,MANUSHRI HOSPITAL BUILDING, STATION ROAD",RX - 3,"ramesh suryakant dahiphale, DPH, [132368-12/05/2016]","['License: ', '20-20/2808 (Validity: 29/12/2018)', '20F-107311 (Validity: 24/11/2019)', '21-21/2808 (Validity: 29/12/2018)']"
MATOSHRI MEDICAL & GENERAL STORES - 9860283570,"JANVE-HOUSE NO 337, SHOP NO 1,MAIN ROAD",RH - 3,"ravindra suresh chaudhari, DPH, [37803-21/09/2006]","['License: ', '20-163234 (Validity: 20/09/2021)', '20C-163235 (Validity: 20/09/2021)', '21-163236 (Validity: 20/09/2021)']"
MAULI MEDICAL & GENERAL STORE,"AMALNER-SHOP NO.5, SANKUL NO.4,,KRUSHI UTTAPANNA SAMITI",R - 2,"kailas chintaman bhadane, DPH, [57697-30/10/2002]","['License: ', '20-20/1836 (Validity: 29/10/2017)', '21-21/1836 (Validity: 29/10/2017)']"
MAYUR MEDICAL & GENERAL STORES - 9423935004,"AMALNER-SHOP NO. 1&2, C.S.T.NO 3279 B&C,,STATION ROAD",RW - 4,"rohan suresh pawar, DPH, [110691-01/10/2014]","['License: ', '20-190106 (Validity: 31/12/2021)', '20B-20B/1322 (Validity: 09/08/2020)', '21-190107 (Validity: 31/12/2021)', '21B-21B/1178 (Validity: 09/08/2020)']"
NAMOH MEDICAL AND GENERAL STORES - 7588351971,"AMALNER-GAT NO.1395/1,KRUSHI UTPANNA BAZAR SAMITI SANKUL NO.1 ,,GROUND FLOOR SHOP NO.5 ,DHULE ROAD,",RH - 3,"pathan mohsin khan habib khan, DPH, [155407-12/01/2017]","['License: ', '20-197097 (Validity: 29/01/2022)', '20C-197099 (Validity: 29/01/2022)', '21-197098 (Validity: 29/01/2022)']"
NANAI MEDICAL AND GENERAL STORES - 8605755949,"Savkheda-Bldg. No.531, Shop No.4,,Chopda - Amalner Road, Savkheda, Tal. Amalner",RH - 3,"krushnarao jaywantrao sonawane, DPH, [162087-28/10/2014]","['License: ', '20-106720 (Validity: 13/11/2019)', '20C-106722 (Validity: 13/11/2019)', '21-106721 (Validity: 13/11/2019)']"
NARMADA MEDICAL & GENERAL STORES - 9423976057,"AMALNER-SHOP NO 1, NARMADA MEDICAL FOUNDATION AWAR,MAIN ROAD",R - 2,"jitendra sahebrao pawar, DPH, [33537-01/02/2010]","['License: ', '20-20/2978 (Validity: 31/01/2020)', '21-21/2978 (Validity: 31/01/2020)']"
NAVKAR MEDICALS - 9423518139,"AMALNER-T.P.NO.49,MAHARANA PRATAP ROAD, NEW PLOT",RH - 3,"nitinkumar lakhichand jain, DPH, [70432-26/10/2015]","['License: ', '20-132034 (Validity: 28/10/2020)', '20C-132036 (Validity: 28/10/2020)', '21-132035 (Validity: 28/10/2020)']"
NEW JEEVANTARA MEDICAL AND GENERAL STORES - 8805010108,"AMALNER-C.S.NO. 187/20, RAMNIK WADI,,DHEKU ROAD",RH - 3,"dipal mahadu nikam, BPH, [177626-01/12/2015]","['License: ', '20-92275 (Validity: 04/03/2019)', '20C-92277 (Validity: 04/03/2019)', '21-92276 (Validity: 04/03/2019)']"
NEW KAUSTUBH DISTRIBUTOR - 9422278334,"AMALNER-PLOT NO.21, SAI MAULI,SAMARTHA NAGAR",W - 2,"girish shantaram patil, DPH, [57459-17/10/2015]","['License: ', '20B-132685 (Validity: 04/11/2020)', '21B-132686 (Validity: 04/11/2020)']"
NEW KRISHNA MEDICAL AND GENERAL STORES - 9273677371,"AMALNER-154/9, KRISHNA HOSPITAL,,STATE BANK COLONY",RH - 3,"namrata devidas chaudhari, DPH, [132336-09/06/2014]","['License: ', '20-92626 (Validity: 11/03/2019)', '20C-92628 (Validity: 11/03/2019)', '21-92627 (Validity: 11/03/2019)']"
NEW MAHAJAN MEDICAL AND GENERAL STORES - 9730197014,"AMALNER-C.S.NO. 1720,,SALI WADA,",RH - 3,"dipak ishwar mahajan, BPH, [119637-30/11/2012]","['License: ', '20-64477 (Validity: 03/10/2019)', '20C-64479 (Validity: 03/10/2019)', '21-64478 (Validity: 03/10/2019)']"
NEW MUKESH MEDICAL STORES - 9923195932,"AMALNER-SHOP NO. 27,SANE GURUJI MARKET",RH - 3,"dinesh ashok wani, DPH, [111074-24/07/2014]","['License: ', '20-100990 (Validity: 30/07/2019)', '20C-100992 (Validity: 30/07/2019)', '21-100991 (Validity: 30/07/2019)']"
NEW SHREE MEDICAL STORES - 9823722782,"AMALNER-SHOP NO 5, PLOT NO 11/7,SONALI SHOPPING CENTER,,BHAGWAT ROAD",RH - 3,"sunil gyanchand lodha, DPH, [16207-18/08/1994]","['License: ', '20-176141 (Validity: 31/12/2021)', '20C-176142 (Validity: 31/12/2021)', '21-176143 (Validity: 31/12/2021)']"
"NEW SHRIRAM MEDICAL, GENERAL AND COSMETICS STORE - 9421517280","Dist Jalgaon-Kasar Lane, Near to Kalika Mata Temple, Amalner,Tal Amalner",RH - 3,"tukaram deolal mali, DPH, [39457-07/05/2012]","['License: ', '20-52293 (Validity: 12/05/2017)', '20C-52295 (Validity: 12/05/2017)', '21-52294 (Validity: 12/05/2017)']"
NEW VARAD MEDICAL - 9527592815,"AMALNER-TP NO 68,SHOP NO 2,LATE MINATAI THAKRE SHOPPING CENTRE",RH - 3,"khatik shoeb aasif, DPH, [169819-31/12/2015]","['License: ', '20-79765 (Validity: 20/08/2018)', '20C-79767 (Validity: 20/08/2018)', '21-79766 (Validity: 20/08/2018)']"
NITIN MEDICAL STORES - 9422619644,"AMALNER-47, SANE GURUJI MARKET,MAIN ROAD",R - 2,"nitinkumar laherchand shah, DPH, [64459-13/06/2016]","['License: ', '20-182963 (Validity: 31/12/2021)', '21-182964 (Validity: 31/12/2021)']"
OM AGENCIES - 9850768342,"AMALNER-SHOP NO 8, NAGARPALIKA SHOPPING CENTRE,STATION ROAD",RWH - 5,"sagheer ahemad kabir shaikh, [68924-26/10/2015]","['License: ', '20-132168 (Validity: 29/10/2020)', '20B-20B/1349 (Validity: 17/01/2021)', '20C-132170 (Validity: 29/10/2020)', '21-132169 (Validity: 29/10/2020)', '21B-21B/1205 (Validity: 17/01/2021)']"
OM MEDICAL AND GENERAL STORES - 7875207909,"AMALNER-CSNO 119/2,TP NO 89/1,SHOP NO 2,PANCHMUKHI CHOWK,NEAR TRIKONI BAGH",RH - 3,"kavita lalchand pawar, DPH, [178982-02/01/2017]","['License: ', '20-76175 (Validity: 11/06/2018)', '20C-76177 (Validity: 11/06/2018)', '21-76176 (Validity: 11/06/2018)']"
PARTH PHARMA - 9730520261,"AMALNER-C.S.T.NO.3512/18, 1ST FLOOR,,SHYAMKUNJ, HANUMAN NAGAR, NEAR SHIRUD NAKA,",W - 2,"ghanhshyam ramesh mandalkar, DPH, [62809-23/07/2015]","['License: ', '20B-125735 (Validity: 05/08/2020)', '21B-125736 (Validity: 05/08/2020)']"
PAVAN MEDICAL - 9028302858,"AMALNER-T.P.NO.6/2A, NEW PLOT,,OPP. NAVIN COURT, RANE XEROX GALLI,",R - 2,"akshay narendra chaudhari, DPH, [168115-21/06/2015]","['License: ', '20-123803 (Validity: 06/07/2020)', '21-123804 (Validity: 06/07/2020)']"
POOJA MEDICAL & GENERAL STORES - 9823623083,"AMALNER-C.S.T.NO 37/5,NEW PLOT,,KACHERI ROAD,",RH - 3,"rajesh gopal agrawal, DPH, [14815-12/10/1998]","['License: ', '20-20/1295 (Validity: 21/04/2020)', '20C-20C/451 (Validity: 21/04/2020)', '21-21/1295 (Validity: 21/04/2020)']"
PRASHANT MEDICALS - 9823082244,"AMALNER-ROOM NO.1&2, T.P.NO.8/3,NEW PLOT,BHAGWAT ROAD",R - 2,"kamlesh ramesh bhavsar, DPH, [31349-11/10/2012]","['License: ', '20-188546 (Validity: 29/12/2021)', '21-188547 (Validity: 29/12/2021)']"
PRATHAM MEDICAL AND GENERAL STORES - 9665752757,"AMALNER-SHOP NO. 1, C.S.NO. 398, PAILAD SHIVKRUPA COMPLEX,,PAROLA ROAD, PAILAD,",RH - 3,"jitendra nilkanth wadile, DPH, [46902-17/11/2011]","['License: ', '20-42477 (Validity: 08/12/2021)', '20C-87088 (Validity: 09/12/2018)', '21-42478 (Validity: 08/12/2021)']"
RAJENDRA MEDICAL STORES - 9422352035,"AMALNER-HOUSE NO 3226-27,STATION ROAD",RH - 3,"nandkishore kanhaiyyalal agrawal, DPH, [6671-29/10/1976]","['License: ', '20-195124 (Validity: 31/12/2021)', '20C-195125 (Validity: 31/12/2021)', '21-195126 (Validity: 31/12/2021)']"
ROYAL MEDICAL AND GENERAL STORES - 7588409086,"AMALNER-3411A/1/2, ZAMI CHOWK,MAIN ROAD",RWH - 6,"mohd.altaf kamaruzzama shaikh, DPH, [40119-30/12/1996]","['License: ', '20-190090 (Validity: 31/12/2021)', '20B-78423 (Validity: 24/07/2018)', '20C-190091 (Validity: 31/12/2021)', '20D-78425 (Validity: 24/07/2018)', '21-190092 (Validity: 31/12/2021)', '21B-78424 (Validity: 24/07/2018)']"
S. K. MEDICALS - 9049417527,"SARBETE BK.-HOUSE NO.8/2 GROUND FLOOR SHOP,RAMESHWAR ROAD",RH - 3,"faridkha shakeel kha, DPH, [121983-07/02/2017]","['License: ', '20-199901 (Validity: 12/02/2022)', '20C-199903 (Validity: 12/02/2022)', '21-199902 (Validity: 12/02/2022)']"
