firm_name,address,licenses,reg_pharma_comp_person,tooltip
JOGESHWARI MEDICAL & GENERAL STORES - 9890688140,"BHADGAON-ROOM NO 132, PLOT NO 1688, BAJAR PETH,MAIN ROAD",RH - 3,"rajendra krishna tatar, DPH, [54898-13/12/2006]","['License: ', '20-186977 (Validity: 29/12/2021)', '20C-186978 (Validity: 29/12/2021)', '21-186979 (Validity: 29/12/2021)']"
KARMAYOGI MEDICAL & GENERAL STORES - 9898541805,"BHADGAON-SHOP NO 13, GROUND FLOOR,MAIN ROAD",RH - 3,"sangita ratan bachchhe, DPH, [85650-13/04/2009]","['License: ', '20-20/2853 (Validity: 12/04/2019)', '20C-20C/1225 (Validity: 12/04/2019)', '21-21/2853 (Validity: 12/04/2019)']"
KETAKI MEDICAL AND GENERAL STORES - 9766943143,"KAJGAON-C.S.NO. 786, HOUSE NO. 721,NAGAD ROAD",RH - 3,"harshal bhikan mahajan, DPH, [145966-18/07/2014]","['License: ', '20-101123 (Validity: 01/08/2019)', '20C-101125 (Validity: 01/08/2019)', '21-101124 (Validity: 01/08/2019)']"
KOTKAR MEDICAL AND GENERAL STORES - 9689579986,"A/P.GONDGAON-HOUSE NO.763,,GROUND FLOOR SHOP NO.1,",RH - 3,"piyush sanjay kotkar, DPH, [153091-29/07/2016]","['License: ', '20-159314 (Validity: 02/08/2021)', '20C-159316 (Validity: 02/08/2021)', '21-159315 (Validity: 02/08/2021)']"
LILAVATI MEDICAL AND GENERAL STORES - 9922851021,"BHADGAON-SHOP NO.9, PLOT NO.38, GAT NO.37,LILAVATI COMPLEX, NEAR BUS STAND",RH - 3,"madhuri navnath pawar, DPH, [172777-24/11/2015]","['License: ', '20-135364 (Validity: 09/12/2020)', '20C-135366 (Validity: 09/12/2020)', '21-135365 (Validity: 09/12/2020)']"
MADHUR MEDICAL AND GENERAL STORES - 9960026650,"PALASKHEDE,-GRAMPANCHAYAT GALA NO. 1,,MAIN ROAD,",RH - 3,"manoj ramesh morankar, DPH, [83684-15/04/2015]","['License: ', '20-67893 (Validity: 06/06/2018)', '20C-67895 (Validity: 06/06/2018)', '21-67894 (Validity: 06/06/2018)']"
MAHAVEER MEDICAL AND GENERAL STORES - 9999999999,"BHADGAON-C.S.T. NO 500,,MAIN ROAD",RH - 3,"dilip inderchand jain, DPH, [18289-17/04/1997]","['License: ', '20-20/1106 (Validity: 31/12/2017)', '20C-67859 (Validity: 16/01/2018)', '21-21/1106 (Validity: 31/12/2017)']"
MAHAVEER MEDICAL AND GENERAL STORES - 9860676320,"KAJAGAON-GAT NO. 130 & ANU KRAMANK 78,OPPOSITE OF SAIKRUPA CLINIC, STATION ROAD",RH - 3,"rahul kamalchan dhadiwal, DPH, [145964-27/06/2014]","['License: ', '20-100179 (Validity: 17/07/2019)', '20C-100181 (Validity: 17/07/2019)', '21-100180 (Validity: 17/07/2019)']"
MANISH MEDICAL & GENERAL STORES - 9421800458,"KOLGAON-SHOP NO.1, HOUSE NO.813,NEAR THALATHI OFFICE",RH - 3,"tushar govinda patil, DPH, [108905-29/09/2010]","['License: ', '20-20/3081 (Validity: 28/09/2020)', '20C-20C/1356 (Validity: 28/09/2020)', '21-21/3081 (Validity: 28/09/2020)']"
MATOSHREE MEDICAL & GEN. STO. - 9960026416,"GIRAD-SHRI MADHUKAR KHUPCHAN BAHETI YANCHI JAGA,ROOM NO 1, HOUSE NO 13,",RH - 3,"vinod prakashrao patil, DPH, [65100-06/01/2004]","['License: ', '20-20/JAL/1994 (Validity: 05/01/2019)', '20C-90407 (Validity: 04/02/2019)', '21-21/JAL/1994 (Validity: 05/01/2019)']"
MAULI MEDICAL & GENERAL STORES - 9561021478,"BHADGAON-BHUMAPAN NO. 3439 & 3440, SARDAR COMPLEX,UNDER FLOOR OF ASHIRWAD HOSPITAL, CHALISGAON ROAD,",RH - 3,"hemant kailash patil, DPH, [117218-04/03/2011]","['License: ', '20-25895 (Validity: 15/02/2018)', '20C-69535 (Validity: 15/02/2018)', '21-25896 (Validity: 15/02/2018)']"
MOHIT MEDICAL & GENERAL STORE - 9271008725,"BHADGAON-C.S.NO. 849, MALMATTA NO. 1127,,MAIN ROAD,",RH - 3,"sunil pundalik chaudhari, DPH, [33738-21/02/2008]","['License: ', '20-186081 (Validity: 02/01/2022)', '20C-186082 (Validity: 02/01/2022)', '21-186083 (Validity: 02/01/2022)']"
NAMAN MEDICAL & GENERAL STORES - 9970072686,"KAJGAON-1st FLOOR NANDANVAN COMPLEX GALA NO.6 PLOT NO.43 GAT NO. 14,HOUSE NO. 1555/24 STATION ROAD MAHAVIR NAGAR",RH - 3,"rinku nandlal dhadiwal, DPH, [79721-23/08/2012]","['License: ', '20-58768 (Validity: 23/09/2020)', '20C-76376 (Validity: 23/09/2020)', '21-58769 (Validity: 23/09/2020)']"
NATIONAL MEDICAL & GENERAL STORES - 9423162386,"BHADGAON-CITY SURVEY NO. 1714, HOUSE NO. 2221,KHOL GALLI, BHADGAON",RH - 3,"najmussaher asif beg mirza, DPH, [175851-11/09/2015]","['License: ', '20-68801 (Validity: 06/02/2018)', '20C-68803 (Validity: 06/02/2018)', '21-68802 (Validity: 06/02/2018)']"
NAVKAR MEDICAL & GENERAL STORE - 9890894477,"BHADGAON-SHOP NO.1, WARD NO.4, G.P.HOUSE NO.1092/1,STATION ROAD, KAJGAON",RH - 3,"swapnil pramodkumar jain, BPH, [87689-20/09/2007]","['License: ', '20-20/2610 (Validity: 19/09/2017)', '20C-70807 (Validity: 10/03/2018)', '21-21/2610 (Validity: 19/09/2017)']"
NEW BHARAT MEDICAL & GENERAL STORES - 9423258599,"BHADGAON-BLOCK NO 3, INDAR COMPLEX,PACHORA ROAD",RH - 3,"sanjay namdeo sapkale, DPH, [43336-06/02/2002]","['License: ', '20-199196 (Validity: 05/02/2022)', '20C-50160 (Validity: 09/04/2017)', '21-199197 (Validity: 05/02/2022)']"
NEW CHAUDHARI DISTRIBUTORS - 9657882115,"BHADGAON-GUT NO. 36/1/K, MALMATTA NO. 3661,,BADHE COMPLEX GROUND FLOOR SHOP NO.164, FRONT OF BUS STAND,",WH - 3,"govinda yashwant jadhav, DPH, [C-P-10/08/2016]","['License: ', '20B-161377 (Validity: 21/08/2021)', '20D-161379 (Validity: 21/08/2021)', '21B-161378 (Validity: 21/08/2021)']"
NEW INDIA MEDICAL & GENERAL STORES - 9420606517,"BHADGAON-MALMATTA NO.6756 SHOP NO.2 &3,,YASHWANT NAGAR, TONGAON SHIWAR",RH - 3,"najuka subhash patil, DPH, [129085-04/07/2013]","['License: ', '20-20/2935 (Validity: 25/09/2019)', '20C-20C/1263 (Validity: 25/09/2019)', '21-21/2935 (Validity: 25/09/2019)']"
NEW RAJ MEDICAL AND GENERAL STORES - 7588193060,"JUWARDI-MALMATTA NO. 303, SHOP NO.1, AT POST JUWARDI,,TAL. BHADGAON, DIST. JALGAON",R - 2,"pranali sukhadev khairnar, DPH, [104439-01/10/2010]","['License: ', '20-152194 (Validity: 30/05/2021)', '21-152195 (Validity: 30/05/2021)']"
PANDURANG MEDICAL AND GENERAL STORES - 9823233144,"BHADGAON-HOUSE NO 1741,,MAIN ROAD",R - 2,"satish shankar sirsath, DPH, [32346-01/01/1996]","['License: ', '20-187363 (Validity: 31/12/2021)', '21-187364 (Validity: 31/12/2021)']"
PARESHWAR MEDICAL AND GENERAL STORES - 9096259392,"PIMPARKHED-GALA NO.2,,GRAMPANCHAYAT SHOPPING COMPLEX",RH - 3,"tushar bharat patil, DPH, [139409-21/07/2015]","['License: ', '20-127496 (Validity: 31/08/2020)', '20C-127498 (Validity: 31/08/2020)', '21-127497 (Validity: 31/08/2020)']"
PARI MEDICAL AND GENERAL STORES - 9923434154,"BHADGAON-C.S.NO. 2505, HOUSE NO. 129, BAZAR CHOWK,,DATTA MADHI ROAD,",RH - 3,"gopal bhaskar chaudhari, DPH, [105558-19/08/2013]","['License: ', '20-79674 (Validity: 18/08/2018)', '20C-79676 (Validity: 18/08/2018)', '21-79675 (Validity: 18/08/2018)']"
PRAKASH MEDICAL AND GENERAL STORES - 9764516135,"KAJGAON-HOUSE NO 57,MAIN ROAD",RH - 3,"bhushan prakash jain, DPH, [133953-15/04/2014]","['License: ', '20-20/603 (Validity: 31/12/2016)', '20C-67144 (Validity: 30/12/2017)', '21-21/603 (Validity: 31/12/2016)']"
PRAKASH MEDICAL STORES,"BHADGAON-HOUSE NO 1749/A BAJAR CHOWK,MAIN ROAD",R - 2,"prashant sudhakar shimpi, DPH, [22676-20/04/1993]","['License: ', '20-20/679 (Validity: 31/12/2017)', '21-21/679 (Validity: 31/12/2017)']"
PUSHPAK MEDICAL AND GENERAL STORES,"GUDHE-HOUSE NO 388, WARD NO 2,MAIN ROAD",R - 2,"umesh nilkanth bhokare, DPH, [27413-01/01/2003]","['License: ', '20-20/674 (Validity: 31/12/2017)', '21-21/674 (Validity: 31/12/2017)']"
RAJ MEDICAL & GENERAL STORE,"BHADGAON-HOUSE NO.69, BAJAR CHOWK,KOLGOAN",R - 2,"udesing mango rathod, DPH, [24690-17/03/2001]","['License: ', '20-20/1623 (Validity: 31/12/2017)', '21-21/1623 (Validity: 31/12/2017)']"
RAJ MEDICAL & GENERAL STORES - 9999999999,"PIMPARKHED-HOUSE NO.215/2 ROOM NO.1&2,,MAIN ROAD,",R - 2,"rajendra deoram waghe, DPH, [24910-09/09/2013]","['License: ', '20-20/1444 (Validity: 09/09/2018)', '21-21/1444 (Validity: 09/09/2018)']"
RAJ MEDICAL AND GENERAL STORES - 9096280476,"ANCHALGAON-HOUSE NO.217,,ANCHALGAON",RH - 3,"dipak yashwant patil, DPH, [157224-28/01/2016]","['License: ', '20-140799 (Validity: 11/02/2021)', '20C-140801 (Validity: 11/02/2021)', '21-140800 (Validity: 11/02/2021)']"
RAJ MEDICAL AND GENERAL STORES - 8007225101,"A/P. GIRAD-GHAR NO. 1501,Ground Floor Gala No.2(From West Side),,LON ROAD,",RH - 3,"prajakta gulabrao patil, BPH, [97602-19/07/2016]","['License: ', '20-159664 (Validity: 04/08/2021)', '20C-159666 (Validity: 04/08/2021)', '21-159665 (Validity: 04/08/2021)']"
RAJ MEDICAL AND GENERAL STORES - 8275338667,"KAJGAON,-BHUMAPAN NO. 129/1 A,,SHANTI NAGAR,",RH - 3,"sachin vasantrao bhosale, DPH, [99628-23/09/2011]","['License: ', '20-38790 (Validity: 11/10/2021)', '20C-38792 (Validity: 11/10/2021)', '21-38791 (Validity: 11/10/2021)']"
RAMLEELA MEDICAL AND GENERAL STORES - 9922153383,"WADE-HOUSE NO.405,BHAR GALLI CHOWK",RH - 3,"abaji tukaram gopal, DPH, [159913-19/10/2015]","['License: ', '20-132124 (Validity: 29/10/2020)', '20C-132126 (Validity: 29/10/2020)', '21-132125 (Validity: 29/10/2020)']"
SADGURU ENTERPRISES - 9975248714,"BHADGAON-SHOP NO. 138, GROUND FLOOR, BADE SIR COMPLEX,NEAR S.T.STAND",W - 2,"nitin babulal bachchhav, BSC, [C-P-01/10/2014]","['License: ', '20B-104998 (Validity: 15/10/2019)', '21B-104999 (Validity: 15/10/2019)']"
SAI MEDICAL & GENERAL STORES - 9637777445,"BHADGAON-C.S.T.NO 61, GALA NO 7,PACHORA ROAD",RH - 3,"rahul motilal ostwal, DPH, [57746-07/12/2005]","['License: ', '20-20/2321 (Validity: 06/12/2020)', '20C-20C/838 (Validity: 06/12/2020)', '21-21/2321 (Validity: 06/12/2020)']"
SAMARPAN MEDICAL STORES - 9422706901,"TONGAON-SHOP NO1, BASEMENT, GAT NO. 34, PLOT NO. 26, HOUSE NO. 3852,,GANESH COLONY, SAMARPAN HOSPITAL BUILDING,",R - 2,"vicky yograj patil, DPH, [122952-21/09/2016]","['License: ', '20-20/3044 (Validity: 06/07/2020)', '21-21/3044 (Validity: 06/07/2020)']"
SAMARTH DISTRIBUTORS - 9561883566,"BHADGAON, TAL. BHADGAON-GUT NO.37, PLOT NO.38 , MALMATTA NO.3409/2/1,,LILAVATI COMPLEX, GF SHOP NO.1, CHALIGAON ROAD.",WH - 3,"rahul nitin patil, DPH, [172578-17/01/2017]","['License: ', '20B-197263 (Validity: 30/01/2022)', '20D-197265 (Validity: 30/01/2022)', '21B-197264 (Validity: 30/01/2022)']"
SAMARTHA MEDICAL & GENARAL STOARS - 9860902941,"pin code 424103-Shop no 953,At.Po.Kajgaon,Tal -bhadgaon,Dis - Jalgaon",RH - 3,"swapnil rajendra patil, DPH, [83679-13/12/2013]","['License: ', '20-87208 (Validity: 16/12/2018)', '20C-87210 (Validity: 16/12/2018)', '21-87209 (Validity: 16/12/2018)']"
SAMARTHA MEDICAL & GENERAL STORES - 9421611363,"BHADGAON-SHOP NO 22, GROUND FLOOR, A.PAWAR SHOPPING COMPLEX,MAIN ROAD",RH - 3,"mahesh shivajirao patil, DPH, [63272-20/01/2009]","['License: ', '20-20/2822 (Validity: 19/01/2019)', '20C-20C/1208 (Validity: 19/01/2019)', '21-21/2822 (Validity: 19/01/2019)']"
SATYADHAN MEDICAL & GENERAL STORES - 9096906298,"AT.POST. SHINDI-MALMATTA NO. 17, WARD NO. 2,MAIN ROAD,",RH - 3,"dnyaneshwar dhanaraj sonawane, DPH, [95732-01/05/2015]","['License: ', '20-77129 (Validity: 26/06/2018)', '20C-77131 (Validity: 26/06/2018)', '21-77130 (Validity: 26/06/2018)']"
SHASHI MEDICAL AND GENERAL STORES - 9011554852,"A/p.Khedgaon Khurd-Gut No.233,,Near Maruti Mandir",RH - 3,"prashant narayan mahajan, DPH, [28697-25/09/1996]","['License: ', '20-178144 (Validity: 31/12/2021)', '20C-197356 (Validity: 30/01/2022)', '21-178145 (Validity: 31/12/2021)']"
SHITAL MEDICAL & GENERAL STORES - 9623807722,"SHINDI-HOUSE NO.2831,,MAIN ROAD,",R - 2,"vikas suresh baviskar, DPH, [108272-09/05/2013]","['License: ', '20-187370 (Validity: 31/12/2021)', '21-187371 (Validity: 31/12/2021)']"
SHIVSHAKTI MEDICAL & GENERAL STORES - 9890075319,"BHADGAON-GAT NO.32/1B/2/2+32/1B/1B,PLOT NO.43,,SHIVSHAKTI COLONY",RH - 3,"kshitija rajendra mahajan, DPH, [97063-12/09/2014]","['License: ', '20-27831 (Validity: 30/09/2019)', '20C-27833 (Validity: 30/09/2019)', '21-27832 (Validity: 30/09/2019)']"
SHREE GAJANAN MEDICAL AND GENERAL STORES - 9766167145,"ANTURLI KH. PRA-LO-MALMATTA NO. 231, C/o. DADAJI TUKARAM PATIL,,GROUND FLOOR,MAIN ROAD,",RH - 3,"prashant dilip patil, DPH, [140319-10/07/2014]","['License: ', '20-100112 (Validity: 05/10/2021)', '20C-100114 (Validity: 05/10/2021)', '21-100113 (Validity: 05/10/2021)']"
SHREE GANESH MEDICAL AND GENERAL STORES - 9370701026,"KAJGAON-GALA NO. 2, HOUSE NO. 728,,NAGAD ROAD",RH - 3,"ravindra suresh mahajan, DPH, [129585-09/05/2014]","['License: ', '20-97061 (Validity: 15/02/2021)', '20C-97063 (Validity: 15/02/2021)', '21-97062 (Validity: 15/02/2021)']"
SHREE SIDDHESHWAR MEDICAL AND GENERAL STORES - 9763728509,"BHADGAON-GUT NO.36/1/K, MALMATTA NO.3656, BADHE SIR COMPLEX,,GROUND GR.FLOOR SHOP NO.159, OPP. BUS STAND,",RH - 3,"vivek bhimraj nikumbh, DPH, [192115-15/10/2016]","['License: ', '20-170018 (Validity: 25/10/2021)', '20C-170020 (Validity: 25/10/2021)', '21-170019 (Validity: 25/10/2021)']"
SHREERAM MEDICAL AND GENERAL STORES - 9999999999,"BHADGAON-197 B,,BHADGAON TAL. KAPUS UTPADAK SANSTHA,",RH - 3,"ravindra tukaram patil, DPH, [24698-21/05/1991]","['License: ', '20-20/523 (Validity: 31/12/2017)', '20C-20C/145 (Validity: 31/12/2017)', '21-21/523 (Validity: 31/12/2017)']"
SHRI BHAGWATI MEDICAL AND GENERAL STORES - 8007168401,"BHADGAON-HOUSE NO. 1661,,MAIN ROAD,",RH - 3,"mohammad umar shaikh rasul qureshi, DPH, [69187-25/02/2014]","['License: ', '20-39053 (Validity: 16/12/2018)', '20C-39055 (Validity: 16/12/2018)', '21-39054 (Validity: 16/12/2018)']"
SHRI GANESH MEDICAL & GENERAL STORES - 8888477045,"BHADGAON-SHOP NO 1, HOUSE NO 2362,BALAD ROAD",RH - 3,"rajendra krushna sonawane, DPH, [65439-21/01/2006]","['License: ', '20-20/2344 (Validity: 20/01/2021)', '20C-20C/854 (Validity: 20/01/2021)', '21-21/2344 (Validity: 20/01/2021)']"
SHRI SWAMI SAMARTH MEDICAL AND GENERAL STORES - 7588193010,"WADE-SHOP NO. 1, GRAMPANCHAYAT HOUSE NO. 67,HOLI GROUND,",RH - 3,"rakeshkumar sureshrao ahirrao, DPH, [130963-11/09/2012]","['License: ', '20-36080 (Validity: 21/08/2021)', '20C-36082 (Validity: 21/08/2021)', '21-36081 (Validity: 21/08/2021)']"
SHRIKRISHNA MEDICAL AND GENERAL STORES - 9975948350,"KANASHI-SHOP NO. 1, HOUSE NO. 93,NEAR CHAKRADHARSWAMI MANDIR",RH - 3,"kunal rajendra patil, DPH, [116697-26/08/2014]","['License: ', '20-103147 (Validity: 25/09/2019)', '20C-103149 (Validity: 25/09/2019)', '21-103148 (Validity: 25/09/2019)']"
SHUBHAM MEDICAL & GENERAL STORE - 9423159515,"BHADGAON-C.S.No.2532, GALA NO.1, GHAR NO.1087, MAIN ROAD, BHADGAON,,TAL. BHADGAON, DIST. JALGAON",RS - 3,"sandeep subhashchand bhandari, DPH, [57748-27/06/2012]","['License: ', '20-20/3024 (Validity: 20/02/2020)', '20A-20/3024 (Validity: 20/02/2020)', '21-21/3024 (Validity: 20/02/2020)']"
SHWAS MEDICAL AND GENERAL STORES - 9766282314,"Bhadgaon-GAT NO. 573, MALMATTA NO. 2065-2067,CHALISGAON ROAD",R - 2,"sachin sahebrao gaikwad, DPH, [128115-10/06/2015]","['License: ', '20-122398 (Validity: 11/06/2020)', '21-122399 (Validity: 11/06/2020)']"
